RequestId,OriginStop,DestStop,SpawnTime,BoardTime,AlightTime,Wait,Ride,Total
0,0,3,720.0,725.0,1740.0,5.0,1015.0,1020.0
1,0,2,1800.0,2820.0,12150.0,1020.0,9330.0,10350.0
2,0,1,2640.0,2820.0,4515.0,180.0,1695.0,1875.0
3,2,3,2950.0,12150.0,13115.0,9200.0,965.0,10165.0
4,2,1,4400.0,12150.0,14820.0,7750.0,2670.0,10420.0
5,1,0,4435.0,4515.0,21500.0,80.0,16985.0,17065.0
6,2,1,5090.0,12150.0,14820.0,7060.0,2670.0,9730.0
7,0,2,5250.0,21500.0,27895.0,16250.0,6395.0,22645.0
8,3,1,5345.0,13115.0,14820.0,7770.0,1705.0,9475.0
9,0,3,5475.0,21500.0,22515.0,16025.0,1015.0,17040.0
10,1,2,6710.0,14820.0,17490.0,8110.0,2670.0,10780.0
11,1,0,6825.0,14820.0,21500.0,7995.0,6680.0,14675.0
12,0,3,7270.0,21500.0,22515.0,14230.0,1015.0,15245.0
13,0,2,7360.0,21500.0,27895.0,14140.0,6395.0,20535.0
14,3,1,7515.0,13115.0,14820.0,5600.0,1705.0,7305.0
15,2,3,8540.0,12150.0,13115.0,3610.0,965.0,4575.0
16,0,2,8555.0,21500.0,27895.0,12945.0,6395.0,19340.0
17,2,3,8610.0,12150.0,13115.0,3540.0,965.0,4505.0
18,2,1,8805.0,12150.0,14820.0,3345.0,2670.0,6015.0
19,2,1,9025.0,12150.0,14820.0,3125.0,2670.0,5795.0
20,1,0,9260.0,14820.0,21500.0,5560.0,6680.0,12240.0
21,0,2,10210.0,21500.0,27895.0,11290.0,6395.0,17685.0
22,2,3,10390.0,12150.0,13115.0,1760.0,965.0,2725.0
23,0,3,10710.0,21500.0,22515.0,10790.0,1015.0,11805.0
24,1,0,11740.0,14820.0,21500.0,3080.0,6680.0,9760.0
25,1,0,12255.0,14820.0,21500.0,2565.0,6680.0,9245.0
26,1,3,12270.0,14820.0,16525.0,2550.0,1705.0,4255.0
27,2,0,12325.0,17490.0,21500.0,5165.0,4010.0,9175.0
28,2,3,13225.0,17490.0,18455.0,4265.0,965.0,5230.0
29,2,0,13585.0,17490.0,21500.0,3905.0,4010.0,7915.0
30,2,0,13780.0,17490.0,21500.0,3710.0,4010.0,7720.0
31,2,3,13920.0,17490.0,18455.0,3570.0,965.0,4535.0
32,3,0,15450.0,16525.0,21500.0,1075.0,4975.0,6050.0
33,2,0,16295.0,17490.0,21500.0,1195.0,4010.0,5205.0
34,2,3,16550.0,17490.0,18455.0,940.0,965.0,1905.0
35,0,3,16555.0,21500.0,22515.0,4945.0,1015.0,5960.0
36,3,1,17280.0,18455.0,25225.0,1175.0,6770.0,7945.0
37,1,2,17670.0,25225.0,27895.0,7555.0,2670.0,10225.0
38,0,2,19165.0,21500.0,27895.0,2335.0,6395.0,8730.0
39,1,3,19165.0,25225.0,26930.0,6060.0,1705.0,7765.0
40,3,0,19220.0,22515.0,23530.0,3295.0,1015.0,4310.0
41,3,1,19410.0,22515.0,25225.0,3105.0,2710.0,5815.0
42,2,3,19535.0,27895.0,28860.0,8360.0,965.0,9325.0
43,0,2,19545.0,21500.0,27895.0,1955.0,6395.0,8350.0
44,3,1,20510.0,22515.0,25225.0,2005.0,2710.0,4715.0
45,0,1,20690.0,21500.0,25225.0,810.0,3725.0,4535.0
46,2,3,21065.0,27895.0,28860.0,6830.0,965.0,7795.0
47,1,2,21290.0,25225.0,27895.0,3935.0,2670.0,6605.0
48,0,3,21310.0,21500.0,22515.0,190.0,1015.0,1205.0
49,2,1,21625.0,27895.0,32595.0,6270.0,4700.0,10970.0
50,3,2,21680.0,22515.0,27895.0,835.0,5380.0,6215.0
51,0,1,21950.0,23530.0,25225.0,1580.0,1695.0,3275.0
52,2,0,22215.0,27895.0,29875.0,5680.0,1980.0,7660.0
53,0,3,22450.0,23530.0,26930.0,1080.0,3400.0,4480.0
54,2,0,22645.0,27895.0,29875.0,5250.0,1980.0,7230.0
55,0,3,22650.0,23530.0,26930.0,880.0,3400.0,4280.0
56,3,1,22720.0,26930.0,32595.0,4210.0,5665.0,9875.0
57,1,2,22725.0,25225.0,27895.0,2500.0,2670.0,5170.0
58,3,2,22870.0,26930.0,27895.0,4060.0,965.0,5025.0
59,0,3,22975.0,23530.0,26930.0,555.0,3400.0,3955.0
60,0,2,22995.0,23530.0,27895.0,535.0,4365.0,4900.0
61,1,3,23145.0,25225.0,26930.0,2080.0,1705.0,3785.0
62,1,0,23335.0,25225.0,29875.0,1890.0,4650.0,6540.0
63,2,3,23375.0,27895.0,28860.0,4520.0,965.0,5485.0
64,1,0,23520.0,25225.0,29875.0,1705.0,4650.0,6355.0
65,3,0,23595.0,26930.0,29875.0,3335.0,2945.0,6280.0
66,2,3,23625.0,27895.0,28860.0,4270.0,965.0,5235.0
67,2,1,23690.0,27895.0,32595.0,4205.0,4700.0,8905.0
68,0,3,23780.0,29875.0,30890.0,6095.0,1015.0,7110.0
69,1,2,23790.0,25225.0,27895.0,1435.0,2670.0,4105.0
70,0,2,23875.0,29875.0,36270.0,6000.0,6395.0,12395.0
71,0,1,23935.0,29875.0,32595.0,5940.0,2720.0,8660.0
72,3,0,24055.0,26930.0,29875.0,2875.0,2945.0,5820.0
73,2,0,24085.0,27895.0,29875.0,3810.0,1980.0,5790.0
74,2,3,24145.0,27895.0,28860.0,3750.0,965.0,4715.0
75,0,3,24400.0,29875.0,30890.0,5475.0,1015.0,6490.0
76,1,2,24435.0,25225.0,27895.0,790.0,2670.0,3460.0
77,0,3,24455.0,29875.0,30890.0,5420.0,1015.0,6435.0
78,2,1,24455.0,27895.0,32595.0,3440.0,4700.0,8140.0
79,1,0,24485.0,32595.0,34290.0,8110.0,1695.0,9805.0
80,3,2,24580.0,26930.0,27895.0,2350.0,965.0,3315.0
