RequestId,OriginStop,DestStop,SpawnTime,BoardTime,AlightTime,Wait,Ride,Total
0,6,0,175.0,1780.0,7635.0,1605.0,5855.0,7460.0
1,0,8,290.0,5340.0,6265.0,5050.0,925.0,5975.0
2,6,8,620.0,1780.0,8560.0,1160.0,6780.0,7940.0
3,0,6,665.0,5340.0,7115.0,4675.0,1775.0,6450.0
4,0,4,720.0,5340.0,6635.0,4620.0,1295.0,5915.0
5,6,3,965.0,1780.0,2295.0,815.0,515.0,1330.0
6,1,3,1055.0,3515.0,7635.0,2460.0,4120.0,6580.0
7,0,6,1110.0,5340.0,7115.0,4230.0,1775.0,6005.0
8,9,7,1175.0,5705.0,11490.0,4530.0,5785.0,10315.0
9,9,2,1755.0,5705.0,8600.0,3950.0,2895.0,6845.0
10,0,8,1770.0,5340.0,6265.0,3570.0,925.0,4495.0
11,4,0,1770.0,6635.0,12970.0,4865.0,6335.0,11200.0
12,6,3,1900.0,7115.0,7635.0,5215.0,520.0,5735.0
13,7,6,2030.0,3860.0,7115.0,1830.0,3255.0,5085.0
14,4,6,2095.0,6635.0,7115.0,4540.0,480.0,5020.0
15,3,2,2135.0,2295.0,3260.0,160.0,965.0,1125.0
16,4,0,2185.0,6635.0,12970.0,4450.0,6335.0,10785.0
17,6,0,2305.0,7115.0,12970.0,4810.0,5855.0,10665.0
18,0,2,2675.0,5340.0,8600.0,2665.0,3260.0,5925.0
19,2,6,2680.0,3260.0,9410.0,580.0,6150.0,6730.0
20,4,0,2725.0,6635.0,12970.0,3910.0,6335.0,10245.0
21,9,8,2900.0,5705.0,6265.0,2805.0,560.0,3365.0
22,1,0,2940.0,3515.0,5340.0,575.0,1825.0,2400.0
23,9,2,3000.0,5705.0,8600.0,2705.0,2895.0,5600.0
24,6,3,3085.0,7115.0,7635.0,4030.0,520.0,4550.0
25,6,0,3115.0,7115.0,12970.0,4000.0,5855.0,9855.0
26,4,6,3410.0,6635.0,7115.0,3225.0,480.0,3705.0
27,4,0,3415.0,6635.0,12970.0,3220.0,6335.0,9555.0
28,1,6,3440.0,3515.0,7115.0,75.0,3600.0,3675.0
29,7,1,3515.0,3860.0,11145.0,345.0,7285.0,7630.0
30,3,4,3605.0,7635.0,14265.0,4030.0,6630.0,10660.0
31,0,2,3700.0,5340.0,8600.0,1640.0,3260.0,4900.0
32,6,5,3955.0,7115.0,13590.0,3160.0,6475.0,9635.0
33,7,5,4075.0,4375.0,6475.0,300.0,2100.0,2400.0
34,3,9,4150.0,7635.0,13335.0,3485.0,5700.0,9185.0
35,7,6,4275.0,4375.0,7635.0,100.0,3260.0,3360.0
36,2,0,4690.0,8600.0,12970.0,3910.0,4370.0,8280.0
37,4,1,4895.0,6635.0,11145.0,1740.0,4510.0,6250.0
38,6,9,4900.0,7115.0,13335.0,2215.0,6220.0,8435.0
39,1,0,4925.0,5805.0,7635.0,880.0,1830.0,2710.0
40,1,9,5285.0,5805.0,8000.0,520.0,2195.0,2715.0
41,9,6,5425.0,5705.0,7115.0,280.0,1410.0,1690.0
42,7,0,5505.0,6150.0,7635.0,645.0,1485.0,2130.0
43,9,8,5560.0,5705.0,6265.0,145.0,560.0,705.0
44,0,6,5615.0,5855.0,7635.0,240.0,1780.0,2020.0
45,0,6,5625.0,5855.0,7635.0,230.0,1780.0,2010.0
46,0,2,6175.0,7635.0,10890.0,1460.0,3255.0,4715.0
47,6,1,6390.0,7115.0,11145.0,725.0,4030.0,4755.0
48,3,0,6510.0,7635.0,12970.0,1125.0,5335.0,6460.0
49,7,9,6610.0,11490.0,13335.0,4880.0,1845.0,6725.0
50,6,0,6825.0,7115.0,12970.0,290.0,5855.0,6145.0
51,0,5,6830.0,7635.0,8255.0,805.0,620.0,1425.0
52,0,6,6905.0,7635.0,9410.0,730.0,1775.0,2505.0
53,0,6,7060.0,7635.0,9410.0,575.0,1775.0,2350.0
54,0,6,7430.0,7635.0,9410.0,205.0,1775.0,1980.0
55,6,8,7655.0,9410.0,16190.0,1755.0,6780.0,8535.0
56,2,9,7680.0,8600.0,13335.0,920.0,4735.0,5655.0
57,6,2,7725.0,9410.0,10890.0,1685.0,1480.0,3165.0
58,3,1,7755.0,8150.0,11660.0,395.0,3510.0,3905.0
59,2,9,7805.0,8600.0,13335.0,795.0,4735.0,5530.0
60,8,6,7805.0,8560.0,9410.0,755.0,850.0,1605.0
61,6,0,8265.0,9410.0,15265.0,1145.0,5855.0,7000.0
62,6,0,8325.0,9410.0,15265.0,1085.0,5855.0,6940.0
63,7,6,8415.0,11490.0,14750.0,3075.0,3260.0,6335.0
64,6,9,8465.0,9410.0,15630.0,945.0,6220.0,7165.0
65,5,6,8505.0,13590.0,14750.0,5085.0,1160.0,6245.0
66,0,9,8515.0,12970.0,13335.0,4455.0,365.0,4820.0
67,1,6,8665.0,11145.0,14750.0,2480.0,3605.0,6085.0
68,4,3,8770.0,8930.0,9925.0,160.0,995.0,1155.0
69,8,0,8875.0,13895.0,20600.0,5020.0,6705.0,11725.0
70,0,6,9085.0,12970.0,14750.0,3885.0,1780.0,5665.0
71,6,0,9310.0,9410.0,15265.0,100.0,5855.0,5955.0
72,4,9,9350.0,14265.0,20965.0,4915.0,6700.0,11615.0
73,2,6,9480.0,10890.0,17040.0,1410.0,6150.0,7560.0
74,4,6,9520.0,14265.0,14750.0,4745.0,485.0,5230.0
75,0,4,9810.0,12970.0,14265.0,3160.0,1295.0,4455.0
76,8,6,9845.0,13895.0,14750.0,4050.0,855.0,4905.0
77,0,6,9860.0,12970.0,14750.0,3110.0,1780.0,4890.0
78,6,0,9890.0,14750.0,20600.0,4860.0,5850.0,10710.0
79,7,4,9895.0,11490.0,14265.0,1595.0,2775.0,4370.0
80,0,7,9935.0,12970.0,19120.0,3035.0,6150.0,9185.0
81,4,1,10215.0,14265.0,18775.0,4050.0,4510.0,8560.0
82,9,0,10245.0,13335.0,20600.0,3090.0,7265.0,10355.0
83,6,5,10255.0,14750.0,21220.0,4495.0,6470.0,10965.0
84,9,0,10295.0,13335.0,20600.0,3040.0,7265.0,10305.0
85,0,6,10325.0,12970.0,14750.0,2645.0,1780.0,4425.0
86,6,2,10385.0,14750.0,16230.0,4365.0,1480.0,5845.0
87,2,1,10965.0,16230.0,18775.0,5265.0,2545.0,7810.0
88,9,3,11290.0,13335.0,15265.0,2045.0,1930.0,3975.0
89,9,5,11460.0,13335.0,13590.0,1875.0,255.0,2130.0
90,6,0,11510.0,14750.0,20600.0,3240.0,5850.0,9090.0
91,0,6,11550.0,12970.0,14750.0,1420.0,1780.0,3200.0
92,6,9,11585.0,14750.0,20965.0,3165.0,6215.0,9380.0
93,0,6,12160.0,12970.0,14750.0,810.0,1780.0,2590.0
94,9,5,12185.0,13335.0,13590.0,1150.0,255.0,1405.0
95,6,8,12390.0,14750.0,21525.0,2360.0,6775.0,9135.0
96,9,7,12490.0,13335.0,19120.0,845.0,5785.0,6630.0
97,5,6,12505.0,13590.0,14750.0,1085.0,1160.0,2245.0
98,8,0,12580.0,14410.0,21115.0,1830.0,6705.0,8535.0
99,6,0,12635.0,14750.0,20600.0,2115.0,5850.0,7965.0
100,6,0,12705.0,14750.0,20600.0,2045.0,5850.0,7895.0
101,0,6,12825.0,12970.0,14750.0,145.0,1780.0,1925.0
102,6,9,12860.0,14750.0,20965.0,1890.0,6215.0,8105.0
103,4,1,13040.0,14785.0,19290.0,1745.0,4505.0,6250.0
104,4,5,13325.0,14785.0,21735.0,1460.0,6950.0,8410.0
105,9,0,13550.0,13850.0,21115.0,300.0,7265.0,7565.0
106,2,6,13565.0,16230.0,22380.0,2665.0,6150.0,8815.0
107,2,0,13575.0,16745.0,21115.0,3170.0,4370.0,7540.0
108,8,9,13785.0,14410.0,21480.0,625.0,7070.0,7695.0
109,2,6,13940.0,16745.0,22895.0,2805.0,6150.0,8955.0
110,9,6,13940.0,15630.0,17040.0,1690.0,1410.0,3100.0
111,2,9,13990.0,16745.0,21480.0,2755.0,4735.0,7490.0
112,0,6,14115.0,15265.0,17040.0,1150.0,1775.0,2925.0
113,0,1,14325.0,15265.0,21070.0,940.0,5805.0,6745.0
114,6,0,14325.0,14750.0,20600.0,425.0,5850.0,6275.0
115,6,0,14400.0,14750.0,20600.0,350.0,5850.0,6200.0
116,6,1,14415.0,14750.0,18775.0,335.0,4025.0,4360.0
117,6,4,14425.0,15265.0,22415.0,840.0,7150.0,7990.0
118,9,6,14795.0,15630.0,17040.0,835.0,1410.0,2245.0
119,0,8,14935.0,15265.0,16190.0,330.0,925.0,1255.0
120,4,8,14975.0,16560.0,23820.0,1585.0,7260.0,8845.0
121,2,0,15100.0,16745.0,21115.0,1645.0,4370.0,6015.0
122,6,0,15190.0,15265.0,21115.0,75.0,5850.0,5925.0
123,0,3,15255.0,15265.0,17555.0,10.0,2290.0,2300.0
124,6,4,15390.0,17040.0,24190.0,1650.0,7150.0,8800.0
125,2,1,15405.0,16745.0,19290.0,1340.0,2545.0,3885.0
126,2,4,15490.0,16745.0,22415.0,1255.0,5670.0,6925.0
127,0,7,15695.0,20600.0,26750.0,4905.0,6150.0,11055.0
128,6,0,15825.0,17040.0,22895.0,1215.0,5855.0,7070.0
129,6,0,15865.0,17040.0,22895.0,1175.0,5855.0,7030.0
130,9,6,15920.0,20965.0,22380.0,5045.0,1415.0,6460.0
131,2,0,16000.0,16745.0,21115.0,745.0,4370.0,5115.0
132,0,3,16010.0,20600.0,22895.0,4590.0,2295.0,6885.0
133,0,6,16025.0,20600.0,22380.0,4575.0,1780.0,6355.0
134,7,0,16045.0,19120.0,20600.0,3075.0,1480.0,4555.0
135,4,6,16070.0,16560.0,17040.0,490.0,480.0,970.0
136,6,9,16155.0,17040.0,23260.0,885.0,6220.0,7105.0
137,7,0,16450.0,19120.0,20600.0,2670.0,1480.0,4150.0
138,9,6,16540.0,20965.0,22380.0,4425.0,1415.0,5840.0
139,0,5,16620.0,20600.0,21220.0,3980.0,620.0,4600.0
140,9,0,16650.0,20965.0,28230.0,4315.0,7265.0,11580.0
141,6,2,16715.0,17040.0,18520.0,325.0,1480.0,1805.0
142,7,0,16740.0,19120.0,20600.0,2380.0,1480.0,3860.0
143,0,5,17055.0,20600.0,21220.0,3545.0,620.0,4165.0
144,2,6,17130.0,18520.0,24670.0,1390.0,6150.0,7540.0
145,5,0,17210.0,21220.0,28230.0,4010.0,7010.0,11020.0
146,6,0,17225.0,22380.0,28230.0,5155.0,5850.0,11005.0
147,8,7,17275.0,21525.0,26750.0,4250.0,5225.0,9475.0
148,6,0,17425.0,22380.0,28230.0,4955.0,5850.0,10805.0
149,1,6,17595.0,18775.0,22380.0,1180.0,3605.0,4785.0
150,6,8,17595.0,22380.0,29160.0,4785.0,6780.0,11565.0
151,0,7,17655.0,20600.0,26750.0,2945.0,6150.0,9095.0
152,6,8,17725.0,22380.0,29160.0,4655.0,6780.0,11435.0
153,6,0,17790.0,22380.0,28230.0,4590.0,5850.0,10440.0
154,5,7,17855.0,21220.0,26750.0,3365.0,5530.0,8895.0
155,6,0,17955.0,22380.0,28230.0,4425.0,5850.0,10275.0
156,4,6,18105.0,21900.0,22380.0,3795.0,480.0,4275.0
157,6,2,18125.0,22380.0,23860.0,4255.0,1480.0,5735.0
158,6,2,18295.0,22380.0,23860.0,4085.0,1480.0,5565.0
159,6,1,18320.0,22380.0,26405.0,4060.0,4025.0,8085.0
160,0,6,18330.0,20600.0,22380.0,2270.0,1780.0,4050.0
161,0,4,18480.0,20600.0,21900.0,2120.0,1300.0,3420.0
162,5,8,18595.0,21220.0,21525.0,2625.0,305.0,2930.0
163,9,3,18615.0,21480.0,23410.0,2865.0,1930.0,4795.0
164,6,0,18635.0,22380.0,28230.0,3745.0,5850.0,9595.0
165,6,3,18895.0,22895.0,23410.0,4000.0,515.0,4515.0
166,0,3,19005.0,20600.0,22895.0,1595.0,2295.0,3890.0
167,0,8,19185.0,20600.0,21525.0,1415.0,925.0,2340.0
168,7,8,19235.0,19635.0,22045.0,400.0,2410.0,2810.0
169,0,6,19285.0,20600.0,22380.0,1315.0,1780.0,3095.0
170,2,6,19285.0,23860.0,30010.0,4575.0,6150.0,10725.0
171,0,6,19300.0,20600.0,22380.0,1300.0,1780.0,3080.0
172,0,6,19340.0,20600.0,22380.0,1260.0,1780.0,3040.0
173,4,3,19350.0,21900.0,22895.0,2550.0,995.0,3545.0
174,8,9,19425.0,21525.0,28595.0,2100.0,7070.0,9170.0
175,6,1,19505.0,22895.0,26920.0,3390.0,4025.0,7415.0
176,5,0,19525.0,21735.0,28745.0,2210.0,7010.0,9220.0
177,0,6,19610.0,21115.0,22895.0,1505.0,1780.0,3285.0
178,6,8,19640.0,22895.0,29675.0,3255.0,6780.0,10035.0
179,6,1,19725.0,22895.0,26920.0,3170.0,4025.0,7195.0
180,1,5,19735.0,21070.0,23515.0,1335.0,2445.0,3780.0
181,1,3,19745.0,21070.0,25185.0,1325.0,4115.0,5440.0
182,6,3,19780.0,22895.0,23410.0,3115.0,515.0,3630.0
183,6,1,19810.0,22895.0,26920.0,3085.0,4025.0,7110.0
184,6,4,19910.0,22895.0,30045.0,2985.0,7150.0,10135.0
185,6,9,19915.0,22895.0,29110.0,2980.0,6215.0,9195.0
186,6,2,19970.0,22895.0,24375.0,2925.0,1480.0,4405.0
187,6,3,20000.0,22895.0,23410.0,2895.0,515.0,3410.0
188,2,3,20050.0,23860.0,30525.0,3810.0,6665.0,10475.0
189,7,0,20170.0,21415.0,22895.0,1245.0,1480.0,2725.0
190,5,0,20230.0,21735.0,28745.0,1505.0,7010.0,8515.0
191,5,0,20325.0,21735.0,28745.0,1410.0,7010.0,8420.0
192,6,0,20365.0,22895.0,28745.0,2530.0,5850.0,8380.0
193,4,6,20390.0,22415.0,22895.0,2025.0,480.0,2505.0
194,6,0,20505.0,22895.0,28745.0,2390.0,5850.0,8240.0
195,6,0,20510.0,24670.0,30525.0,4160.0,5855.0,10015.0
196,3,0,20565.0,22895.0,28230.0,2330.0,5335.0,7665.0
197,0,2,20805.0,21115.0,24375.0,310.0,3260.0,3570.0
198,0,6,20810.0,21115.0,22895.0,305.0,1780.0,2085.0
199,6,9,20850.0,24670.0,30890.0,3820.0,6220.0,10040.0
200,4,8,20935.0,22415.0,29675.0,1480.0,7260.0,8740.0
201,0,6,20965.0,21115.0,22895.0,150.0,1780.0,1930.0
202,0,6,20970.0,21115.0,22895.0,145.0,1780.0,1925.0
203,1,0,21010.0,21070.0,22895.0,60.0,1825.0,1885.0
204,5,6,21010.0,21735.0,22895.0,725.0,1160.0,1885.0
205,6,5,21035.0,24670.0,31145.0,3635.0,6475.0,10110.0
206,6,9,21060.0,24670.0,30890.0,3610.0,6220.0,9830.0
207,6,0,21140.0,24670.0,30525.0,3530.0,5855.0,9385.0
208,6,8,21155.0,24670.0,31450.0,3515.0,6780.0,10295.0
209,5,4,21190.0,21735.0,22415.0,545.0,680.0,1225.0
210,6,1,21190.0,24670.0,28700.0,3480.0,4030.0,7510.0
211,0,3,21200.0,22895.0,25185.0,1695.0,2290.0,3985.0
212,6,1,21215.0,24670.0,28700.0,3455.0,4030.0,7485.0
213,6,0,21225.0,30010.0,35860.0,8785.0,5850.0,14635.0
214,0,7,21310.0,22895.0,29045.0,1585.0,6150.0,7735.0
215,7,0,21325.0,21415.0,22895.0,90.0,1480.0,1570.0
216,5,6,21410.0,21735.0,22895.0,325.0,1160.0,1485.0
217,0,5,21480.0,22895.0,23515.0,1415.0,620.0,2035.0
218,5,0,21500.0,21735.0,28745.0,235.0,7010.0,7245.0
219,3,6,21535.0,22895.0,30010.0,1360.0,7115.0,8475.0
220,0,6,21560.0,22895.0,24670.0,1335.0,1775.0,3110.0
221,6,5,21630.0,30010.0,36485.0,8380.0,6475.0,14855.0
222,0,5,21635.0,22895.0,23515.0,1260.0,620.0,1880.0
223,0,8,21650.0,22895.0,23820.0,1245.0,925.0,2170.0
224,6,0,21650.0,30010.0,35860.0,8360.0,5850.0,14210.0
225,6,8,21680.0,30010.0,36790.0,8330.0,6780.0,15110.0
226,6,7,21690.0,30010.0,34380.0,8320.0,4370.0,12690.0
227,0,6,21695.0,22895.0,24670.0,1200.0,1775.0,2975.0
228,8,6,21720.0,22045.0,22895.0,325.0,850.0,1175.0
229,6,0,21760.0,30010.0,35860.0,8250.0,5850.0,14100.0
230,0,6,21780.0,22895.0,24670.0,1115.0,1775.0,2890.0
231,8,1,21785.0,22045.0,26920.0,260.0,4875.0,5135.0
232,9,3,21810.0,23260.0,25185.0,1450.0,1925.0,3375.0
233,0,3,21840.0,22895.0,25185.0,1055.0,2290.0,3345.0
234,6,2,21855.0,30010.0,31490.0,8155.0,1480.0,9635.0
235,6,3,21900.0,30010.0,30525.0,8110.0,515.0,8625.0
236,7,6,21930.0,26750.0,30010.0,4820.0,3260.0,8080.0
237,0,6,21940.0,22895.0,24670.0,955.0,1775.0,2730.0
238,0,6,21955.0,22895.0,24670.0,940.0,1775.0,2715.0
239,0,1,21985.0,22895.0,28700.0,910.0,5805.0,6715.0
240,5,2,21985.0,23515.0,26155.0,1530.0,2640.0,4170.0
241,6,0,22015.0,30010.0,35860.0,7995.0,5850.0,13845.0
242,6,0,22025.0,30010.0,35860.0,7985.0,5850.0,13835.0
243,2,7,22045.0,24375.0,27265.0,2330.0,2890.0,5220.0
244,6,8,22060.0,30010.0,36790.0,7950.0,6780.0,14730.0
245,0,9,22065.0,22895.0,23260.0,830.0,365.0,1195.0
246,0,9,22140.0,22895.0,23260.0,755.0,365.0,1120.0
247,0,9,22145.0,28230.0,28595.0,6085.0,365.0,6450.0
248,6,7,22230.0,30525.0,34895.0,8295.0,4370.0,12665.0
249,6,8,22230.0,30525.0,37305.0,8295.0,6780.0,15075.0
250,3,9,22270.0,22895.0,28595.0,625.0,5700.0,6325.0
251,5,6,22290.0,23515.0,24670.0,1225.0,1155.0,2380.0
252,9,0,22295.0,23260.0,30525.0,965.0,7265.0,8230.0
253,6,2,22435.0,30525.0,32005.0,8090.0,1480.0,9570.0
254,6,5,22450.0,30525.0,37000.0,8075.0,6475.0,14550.0
255,0,5,22470.0,28230.0,28850.0,5760.0,620.0,6380.0
256,6,7,22505.0,30525.0,34895.0,8020.0,4370.0,12390.0
257,6,3,22520.0,30525.0,31040.0,8005.0,515.0,8520.0
258,7,3,22525.0,26750.0,30525.0,4225.0,3775.0,8000.0
259,6,0,22565.0,30525.0,36375.0,7960.0,5850.0,13810.0
260,4,0,22640.0,24190.0,30525.0,1550.0,6335.0,7885.0
261,0,4,22735.0,28230.0,29530.0,5495.0,1300.0,6795.0
262,6,3,22760.0,30525.0,31040.0,7765.0,515.0,8280.0
263,0,6,22765.0,28230.0,30010.0,5465.0,1780.0,7245.0
264,7,6,22780.0,26750.0,30010.0,3970.0,3260.0,7230.0
265,6,0,22795.0,30525.0,36375.0,7730.0,5850.0,13580.0
266,9,6,22845.0,23260.0,24670.0,415.0,1410.0,1825.0
267,0,6,22850.0,28230.0,30010.0,5380.0,1780.0,7160.0
268,5,2,22905.0,23515.0,26155.0,610.0,2640.0,3250.0
269,9,1,22915.0,28595.0,34035.0,5680.0,5440.0,11120.0
270,7,2,22935.0,26750.0,31490.0,3815.0,4740.0,8555.0
271,4,5,23005.0,29530.0,36485.0,6525.0,6955.0,13480.0
272,8,1,23015.0,23820.0,28700.0,805.0,4880.0,5685.0
273,2,0,23080.0,24375.0,28745.0,1295.0,4370.0,5665.0
274,8,1,23105.0,23820.0,28700.0,715.0,4880.0,5595.0
275,7,6,23110.0,27265.0,30525.0,4155.0,3260.0,7415.0
276,3,6,23135.0,23410.0,30525.0,275.0,7115.0,7390.0
277,9,6,23140.0,28595.0,30010.0,5455.0,1415.0,6870.0
278,7,6,23155.0,27265.0,30525.0,4110.0,3260.0,7370.0
279,0,4,23165.0,28230.0,29530.0,5065.0,1300.0,6365.0
280,0,9,23185.0,28230.0,28595.0,5045.0,365.0,5410.0
281,0,6,23220.0,28230.0,30010.0,5010.0,1780.0,6790.0
282,2,6,23220.0,24375.0,30525.0,1155.0,6150.0,7305.0
283,8,6,23225.0,29160.0,30010.0,5935.0,850.0,6785.0
284,6,0,23235.0,30525.0,36375.0,7290.0,5850.0,13140.0
285,0,7,23255.0,28745.0,34895.0,5490.0,6150.0,11640.0
286,0,9,23345.0,28745.0,29110.0,5400.0,365.0,5765.0
287,6,2,23345.0,30525.0,32005.0,7180.0,1480.0,8660.0
288,5,6,23450.0,28850.0,30010.0,5400.0,1160.0,6560.0
289,0,6,23460.0,28745.0,30525.0,5285.0,1780.0,7065.0
290,0,6,23485.0,28745.0,30525.0,5260.0,1780.0,7040.0
291,0,6,23490.0,28745.0,30525.0,5255.0,1780.0,7035.0
292,0,2,23530.0,28745.0,32005.0,5215.0,3260.0,8475.0
293,6,1,23560.0,30525.0,34550.0,6965.0,4025.0,10990.0
294,3,6,23595.0,25185.0,32300.0,1590.0,7115.0,8705.0
295,3,9,23600.0,25185.0,30890.0,1585.0,5705.0,7290.0
296,6,1,23620.0,32300.0,36330.0,8680.0,4030.0,12710.0
297,0,6,23625.0,28745.0,30525.0,5120.0,1780.0,6900.0
298,1,2,23660.0,26405.0,31490.0,2745.0,5085.0,7830.0
299,6,0,23680.0,32300.0,38155.0,8620.0,5855.0,14475.0
300,3,6,23715.0,25185.0,32300.0,1470.0,7115.0,8585.0
301,6,5,23715.0,32300.0,38775.0,8585.0,6475.0,15060.0
302,3,6,23755.0,25185.0,32300.0,1430.0,7115.0,8545.0
303,2,1,23790.0,24375.0,26920.0,585.0,2545.0,3130.0
304,6,0,23795.0,32300.0,38155.0,8505.0,5855.0,14360.0
305,0,2,23820.0,28745.0,32005.0,4925.0,3260.0,8185.0
306,2,6,23825.0,24375.0,30525.0,550.0,6150.0,6700.0
307,6,5,23830.0,32300.0,38775.0,8470.0,6475.0,14945.0
308,6,5,23845.0,32300.0,38775.0,8455.0,6475.0,14930.0
309,1,7,23885.0,26920.0,27265.0,3035.0,345.0,3380.0
310,3,6,23920.0,30525.0,37640.0,6605.0,7115.0,13720.0
311,4,0,23920.0,29530.0,35860.0,5610.0,6330.0,11940.0
312,6,4,23920.0,32300.0,39450.0,8380.0,7150.0,15530.0
313,6,0,23920.0,32300.0,38155.0,8380.0,5855.0,14235.0
314,6,0,23925.0,32300.0,38155.0,8375.0,5855.0,14230.0
315,0,6,23940.0,30525.0,32300.0,6585.0,1775.0,8360.0
316,5,4,24025.0,28850.0,29530.0,4825.0,680.0,5505.0
317,4,5,24040.0,29530.0,36485.0,5490.0,6955.0,12445.0
318,6,0,24110.0,32300.0,38155.0,8190.0,5855.0,14045.0
319,4,6,24125.0,30045.0,30525.0,5920.0,480.0,6400.0
