Sweep,Mode,BusCount,BaseRate,Requests,Delivered,Undelivered,ServedPct,AvgWait,P90Wait,AvgRide,AvgTotal,MeanOccupancy,EmptyTravelDistance,DeliveredCoV
FleetSize,Dynamic,1,6.0,1456,326,1130,22.4,12018.44,25385.00,3041.21,15059.65,18.32,376.93,0.0000
FleetSize,Dynamic,2,6.0,1456,577,879,39.6,10029.37,22585.00,3173.11,13202.48,17.04,649.18,0.0468
FleetSize,Dynamic,3,6.0,1456,756,700,51.9,8931.89,20705.00,3551.04,12482.93,16.69,255.70,0.1291
FleetSize,Dynamic,4,6.0,1456,1014,442,69.6,8553.46,17235.00,3264.77,11818.22,15.61,1046.32,0.0504
FleetSize,FixedRoute,1,6.0,1456,276,1180,19.0,14190.47,29290.00,3556.83,17747.30,17.90,439.80,0.0000
FleetSize,FixedRoute,2,6.0,1456,508,948,34.9,11020.06,22710.00,3556.39,14576.45,16.57,854.22,0.1142
FleetSize,FixedRoute,3,6.0,1456,680,776,46.7,8984.40,19540.00,3648.77,12633.18,15.44,3079.65,0.1331
FleetSize,FixedRoute,4,6.0,1456,871,585,59.8,7712.62,18130.00,3649.21,11361.83,14.77,2495.33,0.0635
DemandRate,Dynamic,3,1.0,221,186,35,84.2,2328.74,5090.00,4724.65,7053.39,5.78,2263.35,0.2381
DemandRate,FixedRoute,3,1.0,221,190,31,86.0,2175.00,4850.00,4018.34,6193.34,4.72,10796.32,0.5269
DemandRate,Dynamic,3,2.0,462,388,74,84.0,2300.54,4975.00,3789.88,6090.43,9.66,1323.14,0.1294
DemandRate,FixedRoute,3,2.0,462,393,69,85.1,3274.89,6765.00,3681.16,6956.04,9.00,6682.45,0.3146
DemandRate,Dynamic,3,3.0,720,618,102,85.8,6105.22,12770.00,3383.41,9488.63,13.45,749.03,0.1935
DemandRate,FixedRoute,3,3.0,720,559,161,77.6,6489.64,14425.00,3565.76,10055.40,12.61,3627.40,0.1557
DemandRate,Dynamic,3,4.5,1098,705,393,64.2,8805.93,18125.00,3712.43,12518.35,16.31,491.53,0.0935
DemandRate,FixedRoute,3,4.5,1098,616,482,56.1,8623.52,18080.00,3756.48,12380.00,14.58,2492.03,0.1380
DemandRate,Dynamic,3,6.0,1456,756,700,51.9,8931.89,20705.00,3551.04,12482.93,16.69,255.70,0.1291
DemandRate,FixedRoute,3,6.0,1456,680,776,46.7,8984.40,19540.00,3648.77,12633.18,15.44,3079.65,0.1331
